"Wavelength, µm","n","k"
0.4,1.665616091,1.973924254
0.41,1.653911114,1.975227068
0.42,1.63743714,1.970304643
0.43,1.612343317,1.959477219
0.44,1.581523054,1.940313163
0.45,1.538326354,1.910745397
0.46,1.475285274,1.872315849
0.47,1.386263242,1.827683172
0.48,1.252905499,1.782097694
0.49,1.064360219,1.76786953
0.5,0.848474841,1.828280492
0.51,0.661635502,1.964525779
0.52,0.52912664,2.129735899
0.53,0.438041087,2.294990195
0.54,0.372502061,2.451664289
0.55,0.323930966,2.597158307
0.56,0.284960267,2.738978341
0.57,0.254069233,2.871855006
0.58,0.228936734,2.999518633
0.59,0.207122197,3.1213458
0.6,0.188789629,3.241703491
0.61,0.172726107,3.356759495
0.62,0.160071695,3.465634566
0.63,0.14636792,3.577628204
0.64,0.135417727,3.685964997
0.65,0.125499436,3.792327795
0.66,0.117832095,3.896137113
0.67,0.111117685,3.999543366
0.68,0.105744888,4.102704228
0.69,0.101509306,4.205033191
0.7,0.098607898,4.305081128